WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,JOBSAL
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,월 급여
5,623702,3,3,2,2,46,5,1,150
6,623702,3,3,2,2,48,5,1,250
7,623702,3,3,2,2,50,5,1,300
7,623802,2,4,2,2,43,7,1,200
1,623902,2,6,2,2,33,7,1,200
2,623902,2,6,2,2,34,7,1,150
3,623902,2,6,2,2,36,7,1,150
7,623902,2,6,2,2,44,7,1,170
1,624002,3,4,2,2,29,5,1,100
1,624103,1,4,2,6,53,5,1,200
3,624103,1,4,2,6,56,5,1,120
4,624103,1,4,2,6,58,5,1,150
5,624103,1,4,2,6,60,5,1,140
1,624203,6,2,3,1,47,2,1,120
5,624303,6,4,3,2,25,6,2,140
4,624304,6,4,3,3,20,7,2,36
6,624304,6,4,3,3,24,7,2,170
1,624502,6,2,3,3,48,3,1,120
5,624503,6,4,2,2,31,6,2,180
7,624605,6,3,3,3,32,7,1,100
2,624702,6,2,4,2,34,5,1,100
3,624702,6,2,4,2,36,5,1,100
4,624702,6,2,4,2,38,5,1,90
5,624702,6,2,4,2,40,5,1,150
6,624702,6,2,4,2,42,5,1,167
7,624702,6,2,4,2,44,5,1,200
3,624802,3,4,2,3,49,5,1,40
4,624802,3,4,2,3,51,5,1,50
5,624802,3,4,2,3,53,5,1,60
6,624802,3,4,2,3,55,5,1,50
7,624802,3,4,2,3,57,5,1,50
1,624902,12,0,4,6,44,7,1,200
2,624902,12,0,4,6,45,7,1,150
3,624902,12,0,4,6,47,7,1,120
4,624902,12,0,4,6,49,7,1,160
4,625002,3,4,2,2,33,5,1,100
5,625002,3,4,2,2,35,5,1,110
6,625002,3,4,2,2,37,5,1,150
7,625002,3,4,2,2,39,5,1,220
1,625202,11,4,3,2,43,8,1,300
2,625202,11,4,3,2,44,8,1,400
3,625202,11,4,3,2,46,8,1,375
4,625202,11,4,3,2,48,8,1,400
5,625202,11,4,3,2,50,8,1,500
3,625602,6,2,3,2,40,6,1,50
4,625602,6,2,3,2,42,6,1,75
5,625602,6,2,3,2,44,6,1,100
6,625603,7,6,2,2,19,7,2,32
7,625702,1,6,2,2,52,6,1,167
5,625802,6,3,2,2,39,7,1,65
6,625802,6,3,2,2,41,7,1,65
7,625802,6,3,2,2,43,7,1,130
4,626002,6,2,4,2,37,4,1,100
5,626101,4,2,3,2,45,4,1,120
6,626101,4,2,3,2,47,4,1,150
7,626101,4,2,3,2,49,4,1,150
7,626103,9,4,3,3,27,7,2,150
4,626201,6,2,3,2,37,4,1,120
5,626201,6,2,3,2,39,4,1,200
6,626201,6,2,3,2,41,4,1,170
7,626201,6,2,3,2,43,4,1,170
