,,성장환경,,,,개인 spec.,,,,,,일자리 특징,,,,종속변수,,,,,,,,
WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,P02ED07,P02MC01,P02ED16,WCSEL01,PP99RA,WCKD,WCEMP,JOBSAL,P03SJ01,P03RT04,P03JH03,P06SJ01,P06RT04,W10EJ01B,W09SJ01,W09TW09D
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,고등학교 종류,대학전공,대학소재지,일자리구분(정규/비정규),직위,직장종류,사업체 직원 수,월 급여,첫 직장입직,첫 직장 퇴직,첫직장 유지,새로운 일자리 입직,하던일 퇴직,최근 일자리 그만둔 시점,이전일자리 입직,이전일자리 퇴직
7,4002,6,2,2,2,51,3,1,,,,,2,,,350,,,,,,,,
3,4003,7,3,3,2,19,7,2,2,2,1,2,1,1,3,55,,,,,,,,
4,4003,7,3,3,2,21,7,2,,,,,,,,,,,,,,,,
5,4003,7,3,3,2,23,7,2,,,,2,1,1,1,35,,,,,,,,
6,4003,7,3,3,2,25,7,2,,,,2,1,1,2,140,,,,,,,,
4,4004,7,3,3,2,19,6,2,1,12,8,,,,,,,,,,,,,
5,4004,7,3,3,2,21,6,2,,,,2,1,1,1,66,,,,,,,,
6,4004,7,3,3,2,23,6,2,,,,,,,,,,,,,,,,
1,4102,12,3,2,6,52,7,1,1,13,1,,2,,,50,1976,1977,2,,1977,,1985,2005
2,4102,12,3,2,6,53,7,1,,,,,2,,,100,,,,,,,,
1,4104,5,5,2,2,29,8,2,1,2,1,,,,,,2003,2004,2,,,2007,2007,2007
2,4104,5,5,2,2,30,8,2,,,,1,1,1,1,120,,,,,,,,
3,4104,5,5,2,2,32,8,2,,,,1,1,1,2,180,,,,,,,,
5,4104,5,5,2,2,36,8,2,,,,,,,,,,,,,,,,
6,4104,5,5,2,2,38,8,2,,,,,,,,,,,,,,,,
1,4202,6,3,2,2,47,4,1,3,,,,3,,,-9,1979,1981,2,,1983,,1978,1983
2,4202,6,3,2,2,48,4,1,,,,,3,,,0,,,,,,,,
3,4202,6,3,2,2,50,4,1,,,,,3,,,,,,,,,,,
4,4202,6,3,2,2,52,4,1,,,,2,1,1,4,100,,,,,,,,
5,4202,6,3,2,2,54,4,1,,,,2,1,1,3,150,,,,,,,,
6,4202,6,3,2,2,56,4,1,,,,,,,,,,,,,,,,
7,4202,6,3,2,2,58,4,1,,,,,,,,,,,,,,,,
1,4302,6,3,3,2,38,7,1,1,14,5,,2,,,0,1995,1998,2,,,,1995,1998
2,4302,6,3,3,2,39,7,1,,,,,2,,,30,,,,,,,,
3,4302,6,3,3,2,41,7,1,,,,,2,,,200,,,,,,,,
4,4302,6,3,3,2,43,7,1,,,,,,,,,,,,,,,,
5,4302,6,3,3,2,45,7,1,,,,,,,,,,,,,,,,
6,4302,6,3,3,2,47,7,1,,,,,,,,,,,,,,,,
7,4302,6,3,3,2,49,7,1,,,,2,1,1,1,150,,,,,,,,
1,4402,1,3,3,3,32,7,1,2,4,1,2,1,1,1,30,1994,1998,2,,,,2003,2003
2,4402,1,3,3,3,33,7,1,,,,,,,,,,,,,,,,
